01-02 09:31:01,549326 [INFOR] [userlog] 当前:2024-01-02 09:31:01 用户:cxh 登录成功
01-02 09:31:07,132572 [INFOR] [userlog] 当前:2024-01-02 09:31:07 用户:cxh 退出登录
01-02 09:31:12,454902 [INFOR] [userlog] 当前:2024-01-02 09:31:12 用户:wwh 登录成功
01-02 15:39:13,581637 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:miwifi_r1cl_firmware_1b415_2.12.9.bin_20231208.pdf, id:396
01-02 15:39:13,581662 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:libcrypto.so.0.9.8, id:395
01-02 15:39:13,581669 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:zsy.zip, id:394
01-02 15:39:13,581676 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:zsy.zip, id:392
01-02 15:39:13,581684 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:libcrypto.so.0.9.8, id:377
01-02 15:39:13,581691 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:zsy.zip, id:375
01-02 15:39:13,581698 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:YC, id:374
01-02 15:39:13,581705 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:libcurl_7.17.1-1_arm.ipk, id:372
01-02 15:39:13,581712 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:libcurl_7.17.1-1_arm.ipk, id:371
01-02 15:39:13,581719 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:libcurl_7.17.1-1_arm.ipk, id:370
01-02 15:39:13,581727 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:libcurl_7.17.1-1_arm.ipk, id:369
01-02 15:39:13,581734 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:libcurl_7.17.1-1_arm.ipk, id:368
01-02 15:39:13,581741 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:提升品型的权威机携手飒飒开展识传播1的1公益!合-展知识播公益展#识传播的公益展知发知识传播的公益展知识传播的公益展知发.ipk, id:367
01-02 15:39:13,581748 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:libcurl_7.17.1-1_arm.ipk, id:308
01-02 15:39:13,581755 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:qnxfs.img, id:290
01-02 15:39:13,581762 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:qnx.ifs, id:289
01-02 15:39:13,581770 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:Antminer-S19-XP-merge-release-20221121111753.bmu, id:288
01-02 15:39:13,581777 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:DH_IPC-HX5XXX-Volt_Chn_PN_Stream3_V2.840.0000000.13.R.220110.bin, id:287
01-02 15:39:13,581784 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks-qemu.img, id:277
01-02 15:39:13,581791 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks_v7_x86_up2.elf, id:276
01-02 15:39:13,581798 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks_v7_x86_up2.bin, id:275
01-02 15:39:13,581805 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks_v7_x86_qemu.elf, id:274
01-02 15:39:13,581812 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks_v7_x86_qemu.bin, id:273
01-02 15:39:13,581820 [INFOR] [userlog] 当前:2024-01-02 15:39:12 用户:wwh 删除固件扫描任务:vxWorks, id:272
